Symbol,Date,Open,High,Low,Close,Percent Change,Volume
HBL,7/9/2024,185,188.5,185,186.1,0.0005,"46,386.00"
HBL,7/8/2024,188,188,184.2,186,-0.0021,"24,265.00"
HBL,7/7/2024,188.7,189.5,184.1,186.4,0.0076,"50,352.00"
HBL,7/4/2024,188,189.5,184.5,185,-0.0054,"36,619.00"
HBL,7/3/2024,184,186.5,179.4,186,0.0164,"49,082.00"
HBL,7/2/2024,183.6,195,180.5,183,0.0167,"54,143.00"
HBL,7/1/2024,173,180.5,172.1,180,0.0345,"40,875.00"
HBL,6/30/2024,175,175,173,174,0,"13,947.00"
HBL,6/27/2024,174.2,175.5,173,174,-0.0011,"22,614.00"
HBL,6/26/2024,174,176.4,173,174.2,-0.0029,"31,909.00"
HBL,6/25/2024,173,175.4,172.1,174.7,0.0098,"23,123.00"
HBL,6/24/2024,175.4,177,172.3,173,-0.0198,"62,246.00"
HBL,6/23/2024,179,179,174.1,176.5,-0.0056,"28,415.00"
HBL,6/20/2024,184.6,184.6,177,177.5,-0.0193,"33,240.00"
HBL,6/19/2024,184.9,185,180,181,-0.0055,"16,006.00"
HBL,6/18/2024,181.3,183.4,180.5,182,-0.0109,"8,236.00"
HBL,6/16/2024,182,186.3,182,184,0,"17,657.00"
HBL,6/13/2024,183,184.4,181.3,184,0.0055,"32,660.00"
HBL,6/12/2024,186.5,192,183,183,0,"41,677.00"
HBL,6/11/2024,185.9,187.6,180.1,183,0.0038,"28,684.00"
HBL,6/10/2024,185,185,181.3,182.3,0.0016,"27,776.00"
HBL,6/9/2024,191.2,191.2,182,182,-0.0293,"30,635.00"
HBL,6/6/2024,190,190,185,187.5,-0.0106,"27,461.00"
HBL,6/5/2024,190.1,190.7,188.6,189.5,-0.0079,"15,703.00"
HBL,6/4/2024,193.5,193.5,190,191,-0.0119,"15,110.00"
HBL,6/3/2024,197.1,197.1,191,193.3,0,"12,229.00"
HBL,6/2/2024,189.2,195,189,193.3,0.0089,"19,445.00"
HBL,5/30/2024,194.9,195.9,191.6,191.6,-0.0159,"29,396.00"
HBL,5/29/2024,199.9,211,194.7,194.7,-0.0066,"92,492.00"
HBL,5/27/2024,198.9,199,192.1,196,-0.0101,"22,745.00"
HBL,5/26/2024,205,205,195.5,198,-0.0193,"70,759.00"
HBL,5/22/2024,190.2,203.9,190,201.9,0.0461,"96,061.00"
HBL,5/21/2024,194.8,196.4,188.2,193,0.0105,"38,869.00"
HBL,5/20/2024,181,195.5,180,191,0.0552,"80,489.00"
HBL,5/19/2024,179.1,182,175.7,181,0.0308,"31,768.00"
HBL,5/16/2024,181.5,181.5,175.1,175.6,-0.0135,"43,319.00"
HBL,5/15/2024,180,185.6,178,178,-0.0111,"15,048.00"
HBL,5/14/2024,181,182.5,176.1,180,-0.0044,"14,319.00"
HBL,5/13/2024,173,181.5,172.1,180.8,0.0451,"38,458.00"
HBL,5/12/2024,173.9,173.9,169.5,173,0.0147,"15,033.00"
HBL,5/9/2024,168,170.5,168,170.5,0.0029,"23,939.00"
HBL,5/8/2024,175.2,175.2,168,170,-0.0116,"27,080.00"
HBL,5/7/2024,169,173.4,167.1,172,0.0118,"8,083.00"
HBL,5/6/2024,170,173.9,168.6,170,-0.007,"14,849.00"
HBL,5/5/2024,177.8,177.9,168.5,171.2,-0.0273,"51,020.00"
HBL,5/2/2024,181.1,181.1,174.5,176,-0.009,"22,945.00"
HBL,4/30/2024,180.4,180.4,177,177.6,0.004,"32,234.00"
HBL,4/29/2024,179.5,179.5,175.5,176.9,0.0051,"25,542.00"
HBL,4/28/2024,178,178,176,176,-0.0112,"15,877.00"
HBL,4/25/2024,177,178,175.2,178,0.0056,"11,206.00"
HBL,4/24/2024,175,177,174,177,0.0114,"32,688.00"
HBL,4/22/2024,179.5,179.5,174,175,-0.0057,"15,515.00"
HBL,4/21/2024,179,179,174,176,-0.02,"25,043.00"
HBL,4/18/2024,180.5,181,178.8,179.6,-0.0077,"19,573.00"
HBL,4/16/2024,180.1,182,179.5,181,-0.0055,"18,609.00"
HBL,4/15/2024,180.3,183,180.3,182,-0.0055,"16,775.00"
HBL,4/14/2024,185,185,181.5,183,-0.0054,"12,241.00"
HBL,4/10/2024,187.1,188.4,182.3,184,-0.0155,"21,117.00"
HBL,4/9/2024,186,189,185.2,186.9,0.0158,"14,416.00"
HBL,4/7/2024,183,184,179.6,184,0,"35,250.00"
HBL,4/4/2024,184.3,186,183,184,-0.0033,"30,072.00"
HBL,4/3/2024,187,187,184.1,184.6,-0.0123,"22,480.00"
HBL,4/2/2024,185,188,185,186.9,0.0048,"14,676.00"
HBL,4/1/2024,187.1,188,185,186,-0.0106,"30,813.00"
HBL,3/31/2024,187.3,190,187.3,188,-0.0079,"26,610.00"
HBL,3/28/2024,189,191,188.2,189.5,-0.0079,"16,801.00"
HBL,3/27/2024,192,192,189,191,-0.0042,"14,148.00"
HBL,3/26/2024,191,192,190,191.8,0.0042,"12,495.00"
HBL,3/25/2024,191,192,190.1,191,-0.0104,"13,808.00"
HBL,3/21/2024,197.6,197.6,191,193,-0.0052,"9,939.00"
HBL,3/20/2024,195,195,192,194,-0.0097,"27,258.00"
HBL,3/19/2024,198,199,192.2,195.9,-0.0096,"13,519.00"
HBL,3/18/2024,190.1,204.9,184,197.8,0.0249,"37,648.00"
HBL,3/17/2024,192.4,195,192,193,-0.0036,"29,858.00"
HBL,3/14/2024,197,198.9,193,193.7,-0.0132,"9,785.00"
HBL,3/13/2024,200,201.8,196,196.3,-0.0101,"32,410.00"
HBL,3/12/2024,198,199.9,194.2,198.3,0.0211,"46,432.00"
HBL,3/10/2024,190.8,196.6,190.8,194.2,0.0221,"26,033.00"
HBL,3/7/2024,192,193,189,190,-0.0052,"26,590.00"
HBL,3/6/2024,194,194,189,191,0.0005,"36,268.00"
HBL,3/5/2024,194.3,198,189,190.9,0.0021,"59,296.00"
HBL,3/4/2024,187,190.5,187,190.5,0.0198,"1,150.00"
HBL,3/3/2024,185,187.5,184,186.8,-0.0011,"50,166.00"
HBL,2/29/2024,187.6,188.9,186.1,187,-0.0027,"57,479.00"
HBL,2/28/2024,188,189.9,187,187.5,-0.0053,"24,799.00"
HBL,2/27/2024,188,189,186,188.5,0.0027,"32,101.00"
HBL,2/26/2024,187,189,186.1,188,0.0097,"27,615.00"
HBL,2/25/2024,187.9,187.9,185.1,186.2,-0.0096,"31,773.00"
HBL,2/22/2024,188,191.8,186.8,188,-0.0131,"39,980.00"
HBL,2/21/2024,191.1,194,190.3,190.5,-0.0031,"18,311.00"
HBL,2/20/2024,195.8,198,190,191.1,-0.0047,"23,755.00"
HBL,2/18/2024,192,195,189,192,-0.0026,"54,867.00"
HBL,2/15/2024,193,195,192.5,192.5,-0.0026,"23,587.00"
HBL,2/14/2024,195.1,196.9,193,193,-0.0103,"64,524.00"
HBL,2/13/2024,199,199,194.1,195,-0.0245,"69,621.00"
HBL,2/12/2024,201,201,197.5,199.9,0.0045,"26,851.00"
HBL,2/11/2024,200,203,198.3,199,-0.0095,"32,974.00"
HBL,2/8/2024,198.7,201,198.7,200.9,0.0045,"20,407.00"
HBL,2/7/2024,205,205,199.4,200,-0.005,"41,884.00"
HBL,2/6/2024,202,202,199,201,0.0005,"24,371.00"
HBL,2/5/2024,203.3,203.3,198.7,200.9,0.0075,"22,357.00"
HBL,2/4/2024,200,201.9,199.1,199.4,-0.003,"33,360.00"
HBL,2/1/2024,201,202.4,199.2,200,-0.0123,"32,715.00"
HBL,1/31/2024,204,205.8,201.8,202.5,-0.0025,"20,790.00"
HBL,1/30/2024,204,206,202.2,203,0,"31,810.00"
HBL,1/29/2024,202.4,222.6,202.4,203,0.003,"45,091.00"
HBL,1/28/2024,205,207,201,202.4,-0.0127,"51,185.00"
HBL,1/25/2024,209,209,203.1,205,0,"18,818.00"
HBL,1/24/2024,206,209,204,205,-0.0024,"23,644.00"
HBL,1/23/2024,209.1,209.1,203.1,205.5,0.0024,"30,645.00"
HBL,1/22/2024,207,209,204.4,205,-0.0168,"63,822.00"
HBL,1/21/2024,219,219,206.8,208.5,-0.0302,"146,622.00"
HBL,1/18/2024,215,218,212,215,-0.0183,"50,335.00"
HBL,1/17/2024,215,220,214.5,219,0.021,"102,684.00"
HBL,1/16/2024,211.1,215.1,208.7,214.5,0.0263,"75,822.00"
HBL,1/14/2024,205,209.4,202.5,209,0.0195,"30,095.00"
HBL,1/11/2024,204.4,207.9,204,205,0,"22,127.00"
HBL,1/10/2024,206,210.1,204.5,205,0.0049,"39,360.00"
HBL,1/9/2024,203,206,202,204,0.0129,"47,559.00"
HBL,1/8/2024,200,205,200,201.4,0.002,"38,483.00"
HBL,1/7/2024,209,209,201,201,-0.0383,"46,539.00"
HBL,1/4/2024,210,210.9,203.2,209,0.0146,"63,260.00"
HBL,1/3/2024,206.9,206.9,203.1,206,0,"25,666.00"
HBL,1/2/2024,208,210,201.4,206,-0.019,"46,926.00"
HBL,1/1/2024,209.5,212,209,210,0.0019,"65,494.00"
HBL,12/28/2023,210,211,208.2,209.6,-0.0024,"68,124.00"
HBL,12/27/2023,210,214,210,210.1,-0.0033,"79,857.00"
HBL,12/24/2023,213,220,209.5,210.8,-0.0057,"61,806.00"
HBL,12/21/2023,215.2,217,210.8,212,-0.0203,"83,847.00"
HBL,12/20/2023,223,223,210.2,216.4,-0.0114,"91,596.00"
HBL,12/19/2023,210,219.8,210,218.9,0.0474,"99,719.00"
HBL,12/18/2023,208,211,202,209,0.0146,"88,797.00"
